,TCGA-E1-5319,TCGA-CS-6668,TCGA-IK-7675
ENST00000253801,0.05,0.17,0.05
ENST00000417731,0,0,0
ENST00000265689,13.61,10.73,15.83
ENST00000535429,0,0,0
ENST00000565078,0,0.03,0.05
ENST00000367619,4.72,4.31,6.78
ENST00000497209,0.24,0.57,0.16
ENST00000375304,1.96,1.36,1.92
ENST00000423141,0,0,0
ENST00000559540,0.09,0.19,0.23
ENST00000566118,0,0,0.03
ENST00000252318,0.2,0.41,0.39
ENST00000503312,0,0,0.06
ENST00000445626,0.49,0.37,0.09
ENST00000405755,0,0,0
ENST00000486249,1.5,0.51,0.79
ENST00000512905,0,0,0.05
ENST00000431193,0,0,0.04
ENST00000440909,0.05,0.03,0.08
ENST00000553529,0,0,0
ENST00000241052,32.57,25.23,17.1
ENST00000309641,0,0.07,0
ENST00000305631,2.38,0.93,1.79
ENST00000310473,4.91,2.68,5.74
ENST00000452684,0.23,0.03,0.03
ENST00000318911,81.07,77.43,76.76
ENST00000419093,0.16,0,0
ENST00000472059,0.43,0.96,2.32
ENST00000243389,2.4,2.05,1.12
ENST00000381151,1.24,1.93,3.35
ENST00000381157,0,0,0
ENST00000539419,0,0,0.04
ENST00000569188,0.06,0.23,0.1
ENST00000287590,0.94,0.46,0.71
ENST00000539412,0,0,0
ENST00000436673,0,0.02,0
ENST00000267814,5.95,8.9,9.29
ENST00000444736,1.74,0.6,0.12
ENST00000511283,0.24,0.13,0.11
ENST00000508092,0,0,0
ENST00000551156,1.54,3.16,5.34
ENST00000432483,0,0,0
ENST00000415388,0.03,0.03,0
ENST00000537345,1.55,2.51,4.01
ENST00000422549,0,0,0
ENST00000514058,0,0.05,0
ENST00000415380,1.7,3.42,14.16
ENST00000444570,0.09,0.21,0.04
ENST00000280612,6.73,8.25,3.13
ENST00000397702,0.49,0,0
ENST00000397707,4.41,2.84,2.32
ENST00000538526,0.46,0,0.11
ENST00000569233,0.08,0,0.12
ENST00000494830,0,0,0
ENST00000461670,0.86,1.94,2.68
ENST00000597870,0.07,0.27,0.24
ENST00000447901,0.11,0.26,0.07
ENST00000467999,0,0,0.08
ENST00000371486,6.21,5.45,9.5
ENST00000419408,0.06,0.21,0
ENST00000446732,0.05,0,0
ENST00000551841,0,0,0
ENST00000458239,0.16,0.32,0.79
ENST00000540421,0,0,0
ENST00000510881,0,0.94,0.67
ENST00000555090,0,0,0.03
ENST00000393934,0.28,0.71,0.52
ENST00000588138,0.05,0.32,0.16
ENST00000434819,0,0.05,0
ENST00000515546,0,0,0
ENST00000531642,0.28,0.37,0.11
ENST00000545172,0,0.03,0.05
ENST00000576380,0,0.1,0.19
ENST00000448866,4.26,1.23,3.65
ENST00000606082,0.11,0.1,0.23
ENST00000530591,0.06,0,0
ENST00000316185,0.28,0,0
ENST00000430730,0,1.18,0.54
ENST00000437102,0,0,0
ENST00000510084,0,0,0
ENST00000344257,3.2,2.17,2.61
ENST00000585183,0,0.04,0
ENST00000558384,0,0,0
ENST00000589401,0,0,0.03
ENST00000429543,0,0,0
ENST00000429547,0.04,0,0.08
ENST00000399855,0.09,0.22,0.72
ENST00000564296,0.94,1.12,0.39
ENST00000397961,0.77,0.43,0.87
ENST00000601681,0.1,0.26,0
ENST00000567346,0,0.1,0
ENST00000527762,0.2,0,0
ENST00000377436,0,0,0
ENST00000320230,7.53,9.43,5.55
ENST00000377432,2.69,0.44,0.4
ENST00000219700,10.15,0,0
ENST00000356839,0.47,1.25,0.44
ENST00000402667,0.06,0.08,0
ENST00000375499,31.02,22.56,49.23
ENST00000356836,0.45,1.24,2.64
ENST00000549465,0.22,0.21,0.46
ENST00000358307,0.43,0.37,0.26
ENST00000541929,0,0,0
ENST00000401867,1.23,0.19,0.62
ENST00000553007,0.04,0.08,0
ENST00000443372,0.06,0,0.19
ENST00000443376,0.47,1.38,0.44
ENST00000503124,0,0,0
ENST00000444817,0,0.05,0
ENST00000420192,0,0,0
ENST00000586201,0.61,0.9,0.37
ENST00000368851,0.36,0.44,0.14
ENST00000368850,0.27,0.6,0.44
ENST00000534285,1.52,2.86,1.09
ENST00000409674,0,0,0
ENST00000525628,0.47,0.36,1.08
ENST00000373360,0.51,0.9,0.22
ENST00000376744,1.91,1.73,3.02
ENST00000376740,0.07,0.55,0.1
ENST00000487652,0,0.05,0
ENST00000590959,0,0,0.45
ENST00000590958,0,0,0
ENST00000427500,4.43,2.43,1.64
ENST00000396152,0,0,0
ENST00000590770,0,0,0
ENST00000418431,0.31,1.45,1.26
ENST00000368934,0.87,0.07,0.47
ENST00000368935,0,0,0
ENST00000368936,1.01,0.51,1.05
ENST00000368937,0.03,0,0.03
ENST00000357308,0.09,0,0.17
ENST00000534108,0.11,0.19,0.06
ENST00000571004,0.21,0.09,0.09
ENST00000367440,0.06,0.15,0.13
ENST00000381815,10.92,12.95,17.14
ENST00000534452,0.04,0,0.04
ENST00000534105,0,0.05,0
ENST00000354960,0.08,0.25,0.28
ENST00000447283,0,0.04,0
ENST00000340635,2.68,4.43,0.67
ENST00000265093,87.69,30.65,37.33
ENST00000508661,0,0,0
ENST00000335854,0.03,0.01,0.01
ENST00000597099,0,0,0.08
ENST00000532853,0,0,0.06
ENST00000441995,0,0,0
ENST00000441993,3.88,1.17,0.66
